Year,BEST,GISTEMP,HADCRUT,ERA5
1950,-0.6334500154180217,-0.5961865675287925,-0.5824180903625943,-0.54849243
1951,-0.4583851825341043,-0.4851508429893884,-0.4233393472390447,-0.39474487
1952,-0.37405792591982334,-0.40611349587335643,-0.34002800400973965,-0.43951416
1953,-0.3070951666167067,-0.3307845796054222,-0.29371578549373684,-0.37442017
1954,-0.4982137419478753,-0.5523115568935466,-0.4647160575274789,-0.58843994
1955,-0.5544398486341598,-0.5597516537361955,-0.5390516130859274,-0.60964966
1956,-0.6432302975634911,-0.6039130151559086,-0.6019305745638679,-0.65682983
1957,-0.4139795788319124,-0.36928537768041997,-0.3950406347088475,-0.41085815
1958,-0.4082798830718119,-0.36024632644013915,-0.3686021243933111,-0.3059082
1959,-0.4275518037841455,-0.3960455577820285,-0.40261933309891484,-0.34832764
1960,-0.48410393346222885,-0.4514507404978253,-0.46921150631927844,-0.39431763
1961,-0.4069993041164957,-0.3632893819255688,-0.3761287871807252,-0.32000732
1962,-0.4659167775090285,-0.39251879779947274,-0.4218718256653094,-0.4039917
1963,-0.4211662225087556,-0.3641641506678833,-0.3970523823039057,-0.35995483
1964,-0.6882282504368777,-0.6217700291317035,-0.6555315261642554,-0.59017944
1965,-0.567642020388678,-0.5337197750092828,-0.5532475410154283,-0.4800415
1966,-0.5053480222454185,-0.48136787648285306,-0.4983788078959668,-0.41467285
1967,-0.4757639147372835,-0.44008968487039235,-0.46431946811321634,-0.42022705
1968,-0.5501028988274587,-0.4999509549142475,-0.5141021229473489,-0.48880005
1969,-0.40205333444699765,-0.37119642885279197,-0.37982234436025136,-0.35760498
1970,-0.45112726437078887,-0.3988770782362895,-0.4342104240158759,-0.37872314
1971,-0.5687847064778375,-0.5070648158853681,-0.5559634677660699,-0.53411865
1972,-0.457882852783965,-0.42154072610776055,-0.44690102220279476,-0.4069214
1973,-0.32068713975053165,-0.2531719595354156,-0.30002909968043634,-0.30651855
1974,-0.5270652460926353,-0.48037229875147125,-0.5238804219952269,-0.5604553
1975,-0.4586536852906264,-0.44167959334973284,-0.4573499928014904,-0.52853394
1976,-0.5506112857558559,-0.52914177065472,-0.5625647041531787,-0.60250854
1977,-0.2229136549544908,-0.2413643178543137,-0.24143120426642126,-0.32263184
1978,-0.349328402227696,-0.35411220533934196,-0.3443338830056717,-0.38757324
1979,-0.2740197142670078,-0.259433417766444,-0.2592640832182948,-0.23623657
1980,-0.15048435618071315,-0.15946058694096854,-0.1517501383815845,-0.10494995
1981,-0.10282553477415646,-0.0940872711543625,-0.10036704411726793,-0.071624756
1982,-0.31756975000366217,-0.29128410798047355,-0.31550283051972117,-0.27053833
1983,-0.13580454843892859,-0.10995328632162538,-0.12531721129444556,-0.07583618
1984,-0.3043016272647638,-0.263553103702004,-0.3011023869964624,-0.28851318
1985,-0.30692148358200294,-0.30771537354712736,-0.2993611581278589,-0.32894897
1986,-0.2543305614337128,-0.24884787844472617,-0.25428878474254135,-0.2402649
1987,-0.11623326258780559,-0.11076066689103137,-0.10710030650018468,-0.08493042
1988,-0.07079170593069434,-0.036514911124317484,-0.06910964172348,-0.052703857
1989,-0.18345844012867457,-0.15122697485765435,-0.172011684258995,-0.17105103
1990,0.006746112322511266,0.017855810153720397,0.009550370918919027,0.060302734
1991,-0.009840942166287225,-0.010455278695880366,-0.010210706950085802,0.005584717
1992,-0.21666677499339612,-0.20103783931677313,-0.2233323785883206,-0.22634888
1993,-0.15971057531384986,-0.190996931701224,-0.1833308531169065,-0.18060303
1994,-0.11044884183428039,-0.10453928076759295,-0.11442855438296201,-0.14419556
1995,0.04582837412862523,0.022856188673500033,0.026983830320659263,0.0335083
1996,-0.0645472603955865,-0.08365533051555568,-0.07378397955565485,-0.0965271
1997,0.07588819673246011,0.0366811535050397,0.07312883886126365,0.025909424
1998,0.22576687419731084,0.18823262045606093,0.22796113345965718,0.21429443
1999,-0.01604303113887534,-0.04820107726061673,-0.026859403585992536,-0.054595947
2000,-0.015729738912055813,-0.025983526806350687,-0.02006930661964529,-0.059265137
2001,0.1179677467524391,0.11420487944372615,0.13923191996389428,0.10058594
2002,0.2112245712694792,0.20940784944868718,0.19412451225238492,0.1972351
2003,0.1929335009235132,0.2007655029979799,0.19458338346822868,0.18423462
2004,0.10680190616916646,0.11308179717603295,0.11755137668012938,0.12295532
2005,0.2723705763277742,0.25409947455311865,0.2574797550726915,0.28500366
2006,0.22413900507418422,0.2177863661304511,0.22266929264095048,0.23703003
2007,0.23746562817797806,0.24860929035299117,0.24210316284892763,0.2298584
2008,0.10902627238565449,0.11803610974642764,0.11445024388966035,0.097076416
2009,0.24432274994669584,0.2365888718132586,0.24588872186115585,0.2277832
2010,0.3147425644909399,0.30060692463632355,0.33046968884200434,0.32336426
2011,0.20509140741921722,0.18266882936427686,0.18722255922797804,0.18188477
2012,0.2250448109924485,0.2169815769563639,0.22685754864959462,0.23272705
2013,0.24312521650771385,0.2574559735581904,0.27335792074256027,0.25997925
2014,0.31580336797479874,0.3180972499346544,0.32106093638613853,0.29910278
2015,0.45752897741375337,0.4648611946038582,0.4743442368315429,0.44848633
2016,0.5954786746789837,0.6017938580763121,0.5821925130431559,0.631897
2017,0.5014827053248423,0.4995906670005812,0.494925423612362,0.53656006
2018,0.428260324569316,0.4248139034306987,0.41134660473690576,0.45672607
2019,0.5640971716061769,0.5551782951127898,0.5409676873392427,0.59191895
2020,0.5913798478370031,0.5986470386462045,0.5724929529524344,0.6251526
2021,0.4344639045106237,0.42992744552338347,0.40949666530519024,0.4666748
